month,division,line,day_type,incidents,reporting_category
2024-01-01T00:00:00.000,A DIVISION,5,1,17,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,5,1,1,External Factors
2024-01-01T00:00:00.000,A DIVISION,5,1,39,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,5,1,64,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,5,1,13,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,5,1,68,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,5,2,0,
2024-01-01T00:00:00.000,A DIVISION,5,2,2,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,5,2,1,External Factors
2024-01-01T00:00:00.000,A DIVISION,5,2,6,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,5,2,25,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,5,2,5,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,5,2,6,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,6,1,0,
2024-01-01T00:00:00.000,A DIVISION,6,1,21,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,6,1,3,External Factors
2024-01-01T00:00:00.000,A DIVISION,6,1,80,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,6,1,168,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,6,1,50,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,6,1,182,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,6,2,0,
2024-01-01T00:00:00.000,A DIVISION,6,2,8,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,6,2,4,External Factors
2024-01-01T00:00:00.000,A DIVISION,6,2,13,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,6,2,43,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,6,2,14,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,6,2,47,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,7,1,0,
2024-01-01T00:00:00.000,A DIVISION,7,1,22,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,7,1,1,External Factors
2024-01-01T00:00:00.000,A DIVISION,7,1,58,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,7,1,12,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,7,1,41,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,7,1,49,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,7,2,0,
2024-01-01T00:00:00.000,A DIVISION,7,2,3,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,7,2,1,External Factors
2024-01-01T00:00:00.000,A DIVISION,7,2,4,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,7,2,3,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,7,2,4,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,7,2,11,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,0,
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,0,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,2,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,1,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,0,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,S 42nd,1,2,Police & Medical
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,0,
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,1,Crew Availability
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,0,External Factors
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,0,Infrastructure & Equipment
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,0,Operating Conditions
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,0,Planned ROW Work
2024-01-01T00:00:00.000,A DIVISION,S 42nd,2,1,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,A,1,0,
2024-01-01T00:00:00.000,B DIVISION,A,1,23,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,A,1,59,External Factors
2024-01-01T00:00:00.000,B DIVISION,A,1,114,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,A,1,98,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,A,1,72,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,A,1,90,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,A,2,0,
2024-01-01T00:00:00.000,B DIVISION,A,2,10,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,A,2,14,External Factors
2024-01-01T00:00:00.000,B DIVISION,A,2,30,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,A,2,29,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,A,2,30,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,A,2,52,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,B,1,0,
2024-01-01T00:00:00.000,B DIVISION,B,1,6,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,B,1,4,External Factors
2024-01-01T00:00:00.000,B DIVISION,B,1,35,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,B,1,53,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,B,1,10,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,B,1,37,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,C,1,0,
2024-01-01T00:00:00.000,B DIVISION,C,1,11,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,C,1,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,C,1,47,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,C,1,104,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,C,1,17,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,C,1,75,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,C,2,0,
2024-01-01T00:00:00.000,B DIVISION,C,2,5,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,C,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,C,2,10,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,C,2,16,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,C,2,15,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,C,2,21,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,D,1,0,
2024-01-01T00:00:00.000,B DIVISION,D,1,24,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,D,1,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,D,1,53,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,D,1,72,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,D,1,71,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,D,1,94,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,D,2,0,
2024-01-01T00:00:00.000,B DIVISION,D,2,5,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,D,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,D,2,14,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,D,2,12,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,D,2,22,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,D,2,25,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,E,1,0,
2024-01-01T00:00:00.000,B DIVISION,E,1,10,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,E,1,2,External Factors
2024-01-01T00:00:00.000,B DIVISION,E,1,72,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,E,1,34,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,E,1,97,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,E,1,59,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,E,2,0,
2024-01-01T00:00:00.000,B DIVISION,E,2,5,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,E,2,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,E,2,16,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,E,2,10,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,E,2,14,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,E,2,11,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,F,1,0,
2024-01-01T00:00:00.000,B DIVISION,F,1,30,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,F,1,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,F,1,109,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,F,1,70,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,F,1,69,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,F,1,95,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,F,2,0,
2024-01-01T00:00:00.000,B DIVISION,F,2,11,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,F,2,2,External Factors
2024-01-01T00:00:00.000,B DIVISION,F,2,22,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,F,2,19,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,F,2,17,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,F,2,22,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,G,1,0,
2024-01-01T00:00:00.000,B DIVISION,G,1,14,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,G,1,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,G,1,29,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,G,1,59,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,G,1,43,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,G,1,16,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,G,2,0,
2024-01-01T00:00:00.000,B DIVISION,G,2,2,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,G,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,G,2,4,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,G,2,9,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,G,2,12,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,G,2,5,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,JZ,1,0,
2024-01-01T00:00:00.000,B DIVISION,JZ,1,12,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,JZ,1,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,JZ,1,34,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,JZ,1,37,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,JZ,1,42,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,JZ,1,79,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,JZ,2,0,
2024-01-01T00:00:00.000,B DIVISION,JZ,2,6,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,JZ,2,2,External Factors
2024-01-01T00:00:00.000,B DIVISION,JZ,2,11,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,JZ,2,14,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,JZ,2,4,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,JZ,2,32,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,L,1,0,
2024-01-01T00:00:00.000,B DIVISION,L,1,15,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,L,1,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,L,1,46,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,L,1,7,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,L,1,36,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,L,1,30,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,L,2,0,
2024-01-01T00:00:00.000,B DIVISION,L,2,5,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,L,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,L,2,9,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,L,2,1,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,L,2,7,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,L,2,5,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,M,1,0,
2024-01-01T00:00:00.000,B DIVISION,M,1,10,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,M,1,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,M,1,22,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,M,1,22,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,M,1,4,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,M,1,23,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,M,2,0,
2024-01-01T00:00:00.000,B DIVISION,M,2,2,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,M,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,M,2,3,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,M,2,1,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,M,2,0,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,M,2,4,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,N,1,0,
2024-01-01T00:00:00.000,B DIVISION,N,1,25,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,N,1,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,N,1,103,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,N,1,159,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,N,1,70,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,N,1,99,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,N,2,0,
2024-01-01T00:00:00.000,B DIVISION,N,2,9,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,N,2,2,External Factors
2024-01-01T00:00:00.000,B DIVISION,N,2,21,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,N,2,62,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,N,2,26,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,N,2,28,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,Q,1,0,
2024-01-01T00:00:00.000,B DIVISION,Q,1,20,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,Q,1,5,External Factors
2024-01-01T00:00:00.000,B DIVISION,Q,1,66,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,Q,1,108,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,Q,1,54,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,Q,1,61,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,Q,2,0,
2024-01-01T00:00:00.000,B DIVISION,Q,2,3,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,Q,2,1,External Factors
2024-01-01T00:00:00.000,B DIVISION,Q,2,14,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,Q,2,13,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,Q,2,20,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,Q,2,20,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,R,1,0,
2024-01-01T00:00:00.000,B DIVISION,R,1,16,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,R,1,2,External Factors
2024-01-01T00:00:00.000,B DIVISION,R,1,37,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,R,1,46,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,R,1,40,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,R,1,89,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,R,2,0,
2024-01-01T00:00:00.000,B DIVISION,R,2,8,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,R,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,R,2,23,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,R,2,12,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,R,2,8,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,R,2,29,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,0,
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,0,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,3,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,0,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,2,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,S Fkln,1,2,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,0,
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,1,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,0,External Factors
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,0,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,0,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,0,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,S Fkln,2,1,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,0,
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,0,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,18,External Factors
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,4,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,1,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,4,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,S Rock,1,1,Police & Medical
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,0,
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,0,Crew Availability
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,5,External Factors
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,0,Infrastructure & Equipment
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,2,Operating Conditions
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,1,Planned ROW Work
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,0,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,1,1,0,
2024-02-01T00:00:00.000,A DIVISION,1,1,24,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,1,1,3,External Factors
2024-02-01T00:00:00.000,A DIVISION,1,1,73,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,1,1,77,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,1,1,43,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,1,1,83,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,1,2,0,
2024-02-01T00:00:00.000,A DIVISION,1,2,6,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,1,2,0,External Factors
2024-02-01T00:00:00.000,A DIVISION,1,2,27,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,1,2,38,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,1,2,24,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,1,2,31,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,2,1,0,
2024-02-01T00:00:00.000,A DIVISION,2,1,20,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,2,1,0,External Factors
2024-02-01T00:00:00.000,A DIVISION,2,1,57,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,2,1,118,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,2,1,55,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,2,1,69,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,2,2,0,
2024-02-01T00:00:00.000,A DIVISION,2,2,5,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,2,2,1,External Factors
2024-02-01T00:00:00.000,A DIVISION,2,2,36,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,2,2,61,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,2,2,32,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,2,2,60,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,3,1,0,
2024-02-01T00:00:00.000,A DIVISION,3,1,19,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,3,1,2,External Factors
2024-02-01T00:00:00.000,A DIVISION,3,1,35,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,3,1,63,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,3,1,10,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,3,1,31,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,3,2,0,
2024-02-01T00:00:00.000,A DIVISION,3,2,3,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,3,2,0,External Factors
2024-02-01T00:00:00.000,A DIVISION,3,2,6,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,3,2,18,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,3,2,8,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,3,2,17,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,4,1,0,
2024-02-01T00:00:00.000,A DIVISION,4,1,23,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,4,1,1,External Factors
2024-02-01T00:00:00.000,A DIVISION,4,1,33,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,4,1,74,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,4,1,30,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,4,1,89,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,4,2,0,
2024-02-01T00:00:00.000,A DIVISION,4,2,2,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,4,2,1,External Factors
2024-02-01T00:00:00.000,A DIVISION,4,2,15,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,4,2,50,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,4,2,29,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,4,2,61,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,5,1,0,
2024-02-01T00:00:00.000,A DIVISION,5,1,13,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,5,1,1,External Factors
2024-02-01T00:00:00.000,A DIVISION,5,1,27,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,5,1,72,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,5,1,11,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,5,1,80,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,5,2,0,
2024-02-01T00:00:00.000,A DIVISION,5,2,3,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,5,2,0,External Factors
2024-02-01T00:00:00.000,A DIVISION,5,2,5,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,5,2,20,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,5,2,4,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,5,2,12,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,6,1,0,
2024-02-01T00:00:00.000,A DIVISION,6,1,24,Crew Availability
2024-02-01T00:00:00.000,A DIVISION,6,1,4,External Factors
2024-02-01T00:00:00.000,A DIVISION,6,1,75,Infrastructure & Equipment
2024-02-01T00:00:00.000,A DIVISION,6,1,165,Operating Conditions
2024-02-01T00:00:00.000,A DIVISION,6,1,51,Planned ROW Work
2024-02-01T00:00:00.000,A DIVISION,6,1,153,Police & Medical
2024-02-01T00:00:00.000,A DIVISION,6,2,0,
